Group	Project	BugID	BugLocator	BLUiR	BRTracer	AmaLgam	BLIA	Locus
Previous	AspectJ	61411	0.3333 	0.5000 	0.5000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	61536	0.0016 	0.0088 	0.0014 	0.0128 	0.0445 	0.0000 
Previous	AspectJ	62227	0.0792 	0.5022 	0.0670 	0.5032 	0.1038 	0.0357 
Previous	AspectJ	62642	0.2787 	0.1179 	0.0107 	0.1760 	0.2333 	0.0000 
Previous	AspectJ	64069	1.0000 	0.0667 	1.0000 	0.1111 	0.1429 	0.0000 
Previous	AspectJ	64331	0.0136 	0.0038 	0.0373 	0.0058 	0.3333 	0.0333 
Previous	AspectJ	65319	0.1110 	0.0176 	0.0507 	0.0246 	0.1885 	0.0157 
Previous	AspectJ	67592	0.0442 	0.0572 	0.0886 	0.1106 	0.0301 	0.2500 
Previous	AspectJ	67774	0.0068 	0.0061 	0.0036 	0.0116 	0.0172 	0.0000 
Previous	AspectJ	68494	0.3636 	0.1142 	0.3839 	0.1229 	0.3293 	0.4556 
Previous	AspectJ	68991	0.0326 	0.0210 	0.0407 	0.0365 	0.0939 	0.0167 
Previous	AspectJ	69011	0.1717 	0.0587 	0.0853 	0.0601 	0.1800 	0.2000 
Previous	AspectJ	69459	0.0093 	0.0030 	0.0110 	0.0040 	0.0000 	0.0000 
Previous	AspectJ	70008	0.2907 	0.1646 	0.0656 	0.1647 	0.2215 	1.0000 
Previous	AspectJ	70241	0.0049 	0.0071 	0.0052 	0.0102 	0.0015 	0.3333 
Previous	AspectJ	70619	0.5345 	0.2810 	0.6667 	0.4242 	0.5806 	0.5000 
Previous	AspectJ	70773	0.0097 	0.0147 	0.0227 	0.0244 	0.0065 	0.0000 
Previous	AspectJ	71377	0.0651 	0.0482 	0.0713 	0.0635 	0.0191 	0.0000 
Previous	AspectJ	71723	0.6429 	0.5067 	0.6429 	0.5100 	0.2255 	0.0000 
Previous	AspectJ	71811	1.0000 	0.0427 	1.0000 	0.0570 	0.2167 	0.5000 
Previous	AspectJ	71878	0.0019 	0.0096 	0.0021 	0.0132 	0.0149 	0.0064 
Previous	AspectJ	72150	0.0374 	0.0014 	0.0336 	0.0019 	0.1667 	0.0000 
Previous	AspectJ	72154	0.4273 	0.1963 	0.4197 	0.3326 	0.3422 	0.0532 
Previous	AspectJ	72157	0.3163 	0.3054 	0.4136 	0.3298 	0.2851 	0.3333 
Previous	AspectJ	72528	0.3977 	0.2477 	0.0492 	0.2825 	0.1875 	0.0000 
Previous	AspectJ	72531	0.2282 	0.0118 	0.2305 	0.0193 	0.0291 	0.0000 
Previous	AspectJ	72671	0.1025 	0.0394 	0.1165 	0.0651 	0.3238 	0.1214 
Previous	AspectJ	72699	0.3153 	0.1724 	0.3012 	0.1977 	0.1471 	0.1331 
Previous	AspectJ	73433	0.5000 	0.1000 	0.2500 	0.1250 	0.1429 	0.3333 
Previous	AspectJ	74238	0.5559 	0.3006 	0.5560 	0.5564 	0.1809 	0.5000 
Previous	AspectJ	74952	1.0000 	0.3607 	0.5909 	0.3705 	0.7778 	0.0000 
Previous	AspectJ	76055	0.2255 	0.1131 	0.2333 	0.1964 	0.1394 	0.0000 
Previous	AspectJ	76096	0.3914 	0.1853 	0.3707 	0.3623 	0.4248 	0.0588 
Previous	AspectJ	76798	0.1746 	0.2861 	0.1736 	0.3968 	0.2204 	0.1119 
Previous	AspectJ	77163	0.5000 	0.3333 	0.5000 	1.0000 	0.2000 	0.2500 
Previous	AspectJ	77799	1.0000 	0.1429 	1.0000 	0.2000 	1.0000 	1.0000 
Previous	AspectJ	80249	0.2105 	0.1092 	0.2134 	0.2148 	0.0551 	0.0000 
Previous	AspectJ	80916	0.1429 	0.3333 	0.1667 	0.5000 	0.2500 	0.0000 
Previous	AspectJ	81846	1.0000 	0.0097 	1.0000 	0.0172 	1.0000 	1.0000 
Previous	AspectJ	81863	0.0120 	0.0143 	0.0105 	0.0231 	0.0616 	0.0187 
Previous	AspectJ	82062	0.2055 	0.0822 	0.2058 	0.1326 	0.2213 	0.3927 
Previous	AspectJ	82134	0.0365 	0.0492 	0.0347 	0.0755 	0.0334 	0.0586 
Previous	AspectJ	82171	0.3202 	0.2408 	0.1749 	0.4620 	0.3693 	0.1120 
Previous	AspectJ	82218	0.3386 	0.0957 	0.2244 	0.1036 	0.3345 	0.5000 
Previous	AspectJ	82570	0.0230 	0.0134 	0.0419 	0.0203 	0.0263 	0.0878 
Previous	AspectJ	82752	0.5000 	0.0333 	1.0000 	0.0435 	1.0000 	0.4444 
Previous	AspectJ	83303	0.3333 	0.1671 	0.1214 	0.2505 	0.8333 	0.0435 
Previous	AspectJ	83563	0.2131 	0.0986 	0.0360 	0.0990 	0.6500 	0.0385 
Previous	AspectJ	83565	0.2236 	0.0938 	0.1477 	0.1856 	0.1118 	0.5000 
Previous	AspectJ	86789	0.0050 	0.0037 	0.0045 	0.0057 	0.0045 	0.0000 
Previous	AspectJ	87376	0.0242 	0.0342 	0.0454 	0.0581 	0.0191 	0.1111 
Previous	AspectJ	88652	0.1767 	0.1539 	0.2823 	0.1959 	0.2220 	0.0417 
Previous	AspectJ	92880	0.0059 	0.0096 	0.0115 	0.0161 	0.0078 	0.0000 
Previous	AspectJ	95517	0.0010 	0.0015 	0.0012 	0.0020 	0.0011 	0.0000 
Previous	AspectJ	95529	0.1851 	0.1718 	0.1070 	0.2466 	0.1700 	0.0667 
Previous	AspectJ	96371	0.0687 	0.1701 	0.3356 	0.3378 	0.1689 	0.0000 
Previous	AspectJ	98320	0.0036 	0.0061 	0.0042 	0.0090 	0.0164 	0.0385 
Previous	AspectJ	99168	0.0152 	0.0172 	0.1000 	0.0333 	1.0000 	1.0000 
Previous	AspectJ	100195	0.0005 	0.0037 	0.0005 	0.0057 	0.0033 	0.0013 
Previous	AspectJ	100227	0.5139 	0.0338 	0.1175 	0.0609 	0.5833 	0.2500 
Previous	AspectJ	101047	0.0154 	0.0769 	0.0098 	0.5000 	0.1667 	0.0476 
Previous	AspectJ	102459	0.3363 	0.3471 	0.3361 	0.3552 	0.0380 	0.0645 
Previous	AspectJ	103741	0.0167 	0.0072 	0.0157 	0.0105 	0.0949 	0.0083 
Previous	AspectJ	104218	0.1581 	0.2682 	0.1427 	0.3030 	0.2454 	0.1465 
Previous	AspectJ	107299	0.0179 	0.0063 	0.0164 	0.0078 	0.0256 	0.0000 
Previous	AspectJ	108118	0.1971 	0.2833 	0.1940 	0.4762 	0.2936 	0.3929 
Previous	AspectJ	109173	0.2657 	0.3528 	0.2454 	0.6667 	0.3542 	0.0000 
Previous	AspectJ	109614	0.0935 	0.0106 	0.0861 	0.0165 	0.2222 	0.0000 
Previous	AspectJ	112243	0.0812 	0.1623 	0.0073 	0.2917 	0.1667 	0.7000 
Previous	AspectJ	112736	0.0727 	0.1178 	0.0908 	0.1398 	0.1000 	0.0065 
Previous	AspectJ	113257	0.0066 	0.0322 	0.0095 	0.0525 	0.0596 	0.0000 
Previous	AspectJ	113510	0.5000 	0.0526 	0.3333 	0.0833 	0.0714 	0.0000 
Previous	AspectJ	113511	0.6250 	0.4167 	0.6250 	0.8333 	0.7500 	0.0000 
Previous	AspectJ	114343	0.0786 	0.1650 	0.0583 	0.1975 	0.0649 	0.1841 
Previous	AspectJ	114875	0.0546 	0.0230 	0.0970 	0.0432 	0.0298 	0.0000 
Previous	AspectJ	115251	0.5000 	0.5000 	0.0588 	1.0000 	0.0127 	0.0944 
Previous	AspectJ	115252	0.2591 	0.3203 	0.2153 	0.5217 	0.2771 	0.0019 
Previous	AspectJ	115275	0.4377 	0.2063 	0.2991 	0.4090 	0.1475 	0.1095 
Previous	AspectJ	115607	0.0076 	0.0059 	0.0039 	0.0091 	0.0294 	0.0000 
Previous	AspectJ	116626	0.7000 	0.0938 	0.6754 	0.1531 	0.1678 	0.2500 
Previous	AspectJ	116949	0.0294 	0.0625 	0.2500 	0.0909 	0.0588 	0.0000 
Previous	AspectJ	117189	1.0000 	0.7500 	1.0000 	1.0000 	0.7500 	0.3333 
Previous	AspectJ	117209	0.0133 	0.0099 	0.1724 	0.0150 	0.0208 	0.0070 
Previous	AspectJ	117296	0.5578 	0.1183 	0.5025 	0.1800 	0.7255 	1.0000 
Previous	AspectJ	117681	0.6633 	0.6438 	0.5969 	0.6545 	0.3374 	0.1667 
Previous	AspectJ	117882	0.1684 	0.0842 	0.2515 	0.1680 	0.5030 	0.0006 
Previous	AspectJ	118192	0.2235 	0.3089 	0.4923 	0.5687 	0.2065 	0.0000 
Previous	AspectJ	118599	0.0049 	0.0029 	0.0056 	0.0046 	0.0022 	0.0000 
Previous	AspectJ	118715	0.3764 	0.4713 	0.3588 	0.5462 	0.2961 	0.1429 
Previous	AspectJ	118781	0.0095 	0.0045 	0.0072 	0.0061 	0.0423 	0.0071 
Previous	AspectJ	119210	0.0231 	0.0107 	0.0052 	0.0166 	0.0440 	0.0023 
Previous	AspectJ	119353	0.5256 	0.3889 	0.5141 	0.6667 	0.1216 	0.0000 
Previous	AspectJ	119451	0.0275 	0.0115 	0.0065 	0.0131 	0.0213 	0.0200 
Previous	AspectJ	119539	0.0772 	0.0430 	0.0612 	0.0697 	0.0565 	0.0012 
Previous	AspectJ	119543	0.0182 	0.0027 	0.0667 	0.0045 	1.0000 	0.0000 
Previous	AspectJ	119749	0.0992 	0.1797 	0.3054 	0.2042 	0.0879 	0.0128 
Previous	AspectJ	120351	0.2771 	0.0195 	0.2901 	0.0285 	0.0839 	0.0172 
Previous	AspectJ	120356	0.2578 	0.5033 	0.2584 	0.5052 	0.5038 	0.0000 
Previous	AspectJ	120363	0.2868 	0.1845 	0.2685 	0.2104 	0.4167 	0.0000 
Previous	AspectJ	120401	0.3333 	0.0047 	0.2500 	0.0087 	1.0000 	0.0000 
Previous	AspectJ	120474	0.0216 	0.0131 	0.0278 	0.0237 	0.0718 	0.0000 
Previous	AspectJ	120543	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	120739	0.3550 	0.1952 	0.3506 	0.3760 	0.3542 	0.0000 
Previous	AspectJ	120909	0.2653 	0.0047 	0.2627 	0.0049 	0.1334 	0.0000 
Previous	AspectJ	121395	0.3718 	0.2404 	0.3677 	0.4560 	0.4500 	0.0000 
Previous	AspectJ	121616	0.0307 	0.0104 	0.0723 	0.0163 	0.0980 	0.0000 
Previous	AspectJ	122370	0.1313 	0.1480 	0.1325 	0.1559 	0.0486 	0.2000 
Previous	AspectJ	122580	0.0324 	0.0798 	0.0974 	0.1407 	0.2079 	0.0000 
Previous	AspectJ	122728	0.0981 	0.0427 	0.1703 	0.0656 	0.1833 	1.0000 
Previous	AspectJ	122742	0.0052 	0.0109 	0.0040 	0.0117 	0.0246 	0.0200 
Previous	AspectJ	123212	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	123423	0.3704 	0.2879 	0.3247 	0.4392 	0.3011 	0.0000 
Previous	AspectJ	123612	0.0209 	0.0243 	0.0259 	0.0442 	0.0374 	0.0079 
Previous	AspectJ	123695	0.0139 	0.0050 	0.1111 	0.0083 	1.0000 	0.0000 
Previous	AspectJ	124105	0.0020 	0.0047 	0.0019 	0.0078 	0.0077 	0.0000 
Previous	AspectJ	124654	0.0101 	0.0058 	0.0087 	0.0089 	0.0045 	0.0294 
Previous	AspectJ	124808	0.2108 	0.0068 	0.1089 	0.0101 	0.0133 	0.0060 
Previous	AspectJ	124999	0.0726 	0.2647 	0.0568 	0.2722 	0.1419 	0.0455 
Previous	AspectJ	125101	0.0043 	0.0041 	0.0041 	0.0056 	0.0102 	0.0417 
Previous	AspectJ	125405	0.0730 	0.0656 	0.0650 	0.1232 	0.1724 	0.2500 
Previous	AspectJ	125475	0.2186 	0.0105 	0.2164 	0.0152 	0.1101 	0.0046 
Previous	AspectJ	125480	0.1667 	0.2500 	0.1429 	0.5000 	0.0476 	0.0000 
Previous	AspectJ	125699	0.0381 	0.3338 	0.0518 	0.3506 	0.1006 	1.0000 
Previous	AspectJ	125810	0.0091 	0.0037 	0.0128 	0.0047 	0.0063 	0.0000 
Previous	AspectJ	126328	0.2500 	1.0000 	0.0833 	1.0000 	0.2000 	0.0000 
Previous	AspectJ	128128	0.1667 	0.5000 	0.3333 	1.0000 	0.2000 	1.0000 
Previous	AspectJ	128237	0.0415 	0.0188 	0.1157 	0.0288 	0.3763 	0.2500 
Previous	AspectJ	128618	0.2606 	0.2532 	0.3577 	0.2545 	0.2602 	0.0038 
Previous	AspectJ	128655	0.5000 	0.1667 	1.0000 	0.3333 	1.0000 	0.0000 
Previous	AspectJ	128699	0.1000 	0.0385 	1.0000 	0.0588 	0.0270 	0.0000 
Previous	AspectJ	128744	0.0044 	0.0050 	0.0050 	0.0064 	0.0072 	0.0000 
Previous	AspectJ	129525	0.3808 	0.3603 	0.4375 	0.5873 	0.2268 	1.0000 
Previous	AspectJ	129566	0.0435 	0.0025 	0.1429 	0.0040 	1.0000 	0.0000 
Previous	AspectJ	130300	0.1927 	0.1915 	0.2424 	0.2549 	0.1902 	0.1851 
Previous	AspectJ	130837	0.5000 	0.0714 	0.5000 	0.1429 	1.0000 	0.0000 
Previous	AspectJ	130869	0.1010 	0.0425 	0.0812 	0.0736 	0.0507 	0.0556 
Previous	AspectJ	131505	0.2677 	0.1009 	0.3217 	0.1467 	0.3429 	0.0455 
Previous	AspectJ	131932	0.0385 	0.0088 	0.0276 	0.0116 	0.0333 	0.0068 
Previous	AspectJ	131933	0.0251 	0.0030 	0.0534 	0.0052 	0.5115 	0.0238 
Previous	AspectJ	132130	0.0613 	0.0154 	0.0528 	0.0240 	0.0790 	0.0625 
Previous	AspectJ	132349	0.0074 	0.0027 	0.0033 	0.0041 	0.0108 	0.0648 
Previous	AspectJ	132591	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	132926	0.0287 	0.0016 	0.0422 	0.0024 	0.2125 	0.0909 
Previous	AspectJ	133117	0.4061 	0.5222 	0.3996 	0.6556 	0.1439 	0.5833 
Previous	AspectJ	133307	0.0836 	0.0530 	0.0813 	0.0731 	0.1512 	0.0303 
Previous	AspectJ	134541	0.3358 	0.3378 	0.3363 	0.3403 	0.3385 	0.0250 
Previous	AspectJ	135001	0.0451 	0.0129 	0.0344 	0.0232 	0.1471 	0.0079 
Previous	AspectJ	135068	0.0921 	0.0243 	0.0977 	0.0268 	0.0195 	0.0000 
Previous	AspectJ	135780	0.0089 	0.0204 	0.0101 	0.0313 	0.0500 	0.0000 
Previous	AspectJ	136665	0.1429 	0.0147 	0.2000 	0.0238 	0.0909 	0.0000 
Previous	AspectJ	136707	0.5556 	0.1838 	0.5909 	0.3333 	0.5000 	1.0000 
Previous	AspectJ	138143	0.2000 	0.0400 	0.2500 	0.0769 	1.0000 	0.0000 
Previous	AspectJ	138171	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	138215	0.0402 	0.1742 	0.1718 	0.1784 	0.0707 	0.0000 
Previous	AspectJ	138219	0.0157 	0.0117 	0.0171 	0.0177 	0.0185 	0.0044 
Previous	AspectJ	138223	0.0406 	0.0635 	0.0955 	0.0833 	0.5526 	0.0000 
Previous	AspectJ	138286	0.0289 	0.0041 	0.1020 	0.0071 	0.5067 	0.0000 
Previous	AspectJ	138540	0.2500 	0.2500 	0.2500 	0.5000 	0.0769 	0.1000 
Previous	AspectJ	141956	0.1388 	0.0364 	0.0507 	0.0691 	0.1997 	0.1000 
Previous	AspectJ	142165	0.0086 	0.0101 	0.0136 	0.0141 	0.1277 	0.0024 
Previous	AspectJ	145086	0.3347 	0.0419 	0.3346 	0.1347 	0.3439 	0.0000 
Previous	AspectJ	145693	0.0496 	0.0563 	0.0606 	0.0955 	0.0678 	0.0556 
Previous	AspectJ	145950	0.0714 	1.0000 	0.1667 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	146546	0.1875 	0.3333 	0.2292 	0.5000 	1.0000 	0.8333 
Previous	AspectJ	147701	0.0257 	0.0320 	0.0270 	0.0365 	0.0499 	0.0964 
Previous	AspectJ	147801	0.0168 	0.1145 	0.0154 	0.1317 	0.0362 	0.1250 
Previous	AspectJ	148388	0.5000 	0.3333 	0.2500 	0.3333 	0.2500 	1.0000 
Previous	AspectJ	148409	0.2542 	0.2538 	0.2553 	0.2568 	0.2588 	0.0000 
Previous	AspectJ	148536	0.5000 	0.1250 	1.0000 	0.2500 	1.0000 	0.0000 
Previous	AspectJ	148537	0.0296 	0.0014 	0.0512 	0.0027 	0.0040 	0.0000 
Previous	AspectJ	148545	0.0024 	0.0055 	0.0021 	0.0092 	0.0370 	0.0000 
Previous	AspectJ	148693	0.0372 	0.0182 	0.0258 	0.0361 	0.0165 	0.0000 
Previous	AspectJ	148727	0.3534 	0.3751 	0.3523 	0.3944 	0.0353 	0.0000 
Previous	AspectJ	148737	0.0069 	0.0025 	0.0094 	0.0047 	0.0130 	0.0043 
Previous	AspectJ	148786	0.3542 	0.0678 	0.1847 	0.1130 	0.3426 	0.2000 
Previous	AspectJ	148908	0.3472 	0.0692 	0.5278 	0.1021 	0.1884 	0.1667 
Previous	AspectJ	148972	0.0232 	0.0265 	0.0747 	0.0402 	0.0535 	0.2500 
Previous	AspectJ	149071	0.0787 	0.0654 	0.3427 	0.0799 	0.0395 	0.0000 
Previous	AspectJ	149289	0.7129 	0.1172 	0.6296 	0.1614 	0.3176 	0.2000 
Previous	AspectJ	149305	0.0119 	0.0045 	0.0081 	0.0066 	0.0078 	0.0000 
Previous	AspectJ	150271	0.4609 	0.2921 	0.3222 	0.3400 	0.1333 	1.0000 
Previous	AspectJ	150671	0.0133 	0.0386 	0.0094 	0.0656 	0.0329 	0.0000 
Previous	AspectJ	151182	0.0909 	0.2500 	0.2000 	0.5000 	0.2500 	0.0000 
Previous	AspectJ	151673	0.2000 	0.0227 	0.2000 	0.0385 	0.0714 	0.0000 
Previous	AspectJ	151845	0.0333 	0.0094 	0.1000 	0.0135 	0.0667 	0.5000 
Previous	AspectJ	151938	0.0331 	0.0336 	0.0299 	0.0548 	0.0656 	0.0000 
Previous	AspectJ	152257	0.0970 	0.3242 	0.0104 	0.3764 	0.2600 	0.2000 
Previous	AspectJ	152366	0.0202 	0.0659 	0.0114 	0.1056 	0.0570 	0.0000 
Previous	AspectJ	152388	0.2000 	0.0222 	0.2000 	0.0417 	1.0000 	0.0000 
Previous	AspectJ	152589	0.6000 	0.1083 	0.5769 	0.1825 	1.0000 	0.0000 
Previous	AspectJ	152631	0.0413 	0.0743 	0.0817 	0.1083 	0.4167 	0.0769 
Previous	AspectJ	152848	0.0175 	0.0036 	0.1465 	0.0063 	1.0000 	0.0000 
Previous	AspectJ	152871	0.3917 	0.3507 	0.3901 	0.4833 	0.3003 	0.4000 
Previous	AspectJ	152873	0.1174 	0.0826 	0.1176 	0.1229 	0.2048 	0.5625 
Previous	AspectJ	153490	0.0265 	0.0208 	0.0480 	0.0397 	0.0984 	0.0000 
Previous	AspectJ	153535	0.0289 	0.0054 	0.0189 	0.0050 	0.0205 	0.0000 
Previous	AspectJ	153845	0.0104 	0.0043 	0.0086 	0.0076 	0.0193 	0.0000 
Previous	AspectJ	154332	0.3935 	0.4430 	0.4133 	0.4598 	0.0731 	0.0000 
Previous	AspectJ	155148	0.1368 	0.0145 	0.2622 	0.0205 	0.1611 	0.0000 
Previous	AspectJ	155238	0.1742 	0.5189 	0.1169 	0.5294 	0.0389 	0.0000 
Previous	AspectJ	155972	0.0130 	0.0159 	0.0161 	0.0249 	0.0281 	0.0214 
Previous	AspectJ	156904	0.5716 	0.0182 	0.5466 	0.0220 	0.1095 	0.0000 
Previous	AspectJ	156962	0.1260 	0.0383 	0.0996 	0.0522 	0.0719 	0.0089 
Previous	AspectJ	158412	0.0127 	0.0206 	0.0107 	0.0404 	0.0317 	0.0000 
Previous	AspectJ	158573	0.1370 	0.2812 	0.1389 	0.3024 	0.1298 	0.0238 
Previous	AspectJ	158624	0.0674 	0.3403 	0.0740 	0.3425 	0.2092 	0.0000 
