Group	Project	BugID	NTk	NLocalTk	NDistTk	NDistCE
Apache	CAMEL	211	11	0	9	1
Apache	CAMEL	9593	19	1	13	2
Apache	CAMEL	8409	105	5	65	4
Apache	CAMEL	8411	35	1	25	3
Apache	CAMEL	224	26	0	20	1
Apache	CAMEL	8417	42	3	29	6
Apache	CAMEL	9282	353	8	89	43
Apache	CAMEL	232	3	0	3	0
Apache	CAMEL	8425	38	0	27	2
Apache	CAMEL	8426	39	0	28	2
Apache	CAMEL	8430	13	4	10	2
Apache	CAMEL	8431	69	9	46	16
Apache	CAMEL	8432	50	1	41	1
Apache	CAMEL	8434	13	0	7	0
Apache	CAMEL	8436	39	2	36	4
Apache	CAMEL	8437	144	2	42	9
Apache	CAMEL	247	52	1	29	8
Apache	CAMEL	257	1356	8	72	37
Apache	CAMEL	261	57	3	43	9
Apache	CAMEL	8455	39	4	28	4
Apache	CAMEL	8456	57	2	35	4
Apache	CAMEL	8457	24	5	18	7
Apache	CAMEL	8461	104	1	50	5
Apache	CAMEL	8462	23	2	18	5
Apache	CAMEL	271	88	9	63	11
Apache	CAMEL	8464	59	2	38	4
Apache	CAMEL	8469	128	11	63	12
Apache	CAMEL	8476	89	2	57	5
Apache	CAMEL	8479	4	1	4	1
Apache	CAMEL	8484	21	1	18	2
Apache	CAMEL	9606	258	20	133	28
Apache	CAMEL	297	25	3	18	5
Apache	CAMEL	8492	60	4	37	7
Apache	CAMEL	304	17	2	14	2
Apache	CAMEL	9608	819	37	147	69
Apache	CAMEL	8498	38	1	29	4
Apache	CAMEL	307	21	1	17	2
Apache	CAMEL	8500	194	11	84	29
Apache	CAMEL	8505	92	9	43	17
Apache	CAMEL	8510	88	5	30	12
Apache	CAMEL	320	27	3	21	6
Apache	CAMEL	8515	54	1	32	9
Apache	CAMEL	324	45	0	32	3
Apache	CAMEL	8519	51	1	38	1
Apache	CAMEL	8520	193	23	94	38
Apache	CAMEL	329	23	2	22	3
Apache	CAMEL	10104	40	2	28	2
Apache	CAMEL	340	85	2	54	8
Apache	CAMEL	8539	67	2	48	7
Apache	CAMEL	8540	51	0	35	5
Apache	CAMEL	352	41	4	29	2
Apache	CAMEL	8546	129	1	54	26
Apache	CAMEL	8547	19	1	16	3
Apache	CAMEL	363	575	16	148	77
Apache	CAMEL	8556	45	2	24	8
Apache	CAMEL	370	38	1	30	1
Apache	CAMEL	373	67	3	40	7
Apache	CAMEL	374	42	0	28	3
Apache	CAMEL	380	65	4	42	15
Apache	CAMEL	8575	461	14	115	80
Apache	CAMEL	384	14	0	11	0
Apache	CAMEL	8578	29	1	23	2
Apache	CAMEL	388	21	4	14	4
Apache	CAMEL	8584	48	5	39	5
Apache	CAMEL	8585	648	5	97	55
Apache	CAMEL	8587	23	0	13	0
Apache	CAMEL	8592	17	1	13	4
Apache	CAMEL	404	9	0	6	0
Apache	CAMEL	8597	41	4	27	4
Apache	CAMEL	410	54	1	38	4
Apache	CAMEL	412	33	1	31	4
Apache	CAMEL	8607	91	5	52	7
Apache	CAMEL	8609	22	0	13	0
Apache	CAMEL	420	46	1	34	4
Apache	CAMEL	430	76	2	49	8
Apache	CAMEL	8624	17	1	16	3
Apache	CAMEL	8626	77	6	55	16
Apache	CAMEL	8628	48	1	27	4
Apache	CAMEL	8636	23	0	15	0
Apache	CAMEL	8643	49	0	35	2
Apache	CAMEL	457	79	1	51	4
Apache	CAMEL	461	32	2	26	4
Apache	CAMEL	462	68	0	39	3
Apache	CAMEL	8660	34	1	23	2
Apache	CAMEL	8665	31	4	29	3
Apache	CAMEL	476	6	0	6	1
Apache	CAMEL	8672	49	4	26	8
Apache	CAMEL	8673	36	3	25	6
Apache	CAMEL	8674	56	4	27	5
Apache	CAMEL	8682	29	0	15	2
Apache	CAMEL	8683	24	0	13	1
Apache	CAMEL	8687	37	2	24	3
Apache	CAMEL	8688	90	8	60	3
Apache	CAMEL	8689	74	3	49	2
Apache	CAMEL	498	9	0	8	0
Apache	CAMEL	499	117	0	19	3
Apache	CAMEL	8694	274	6	74	47
Apache	CAMEL	504	28	1	21	1
Apache	CAMEL	505	60	2	41	1
Apache	CAMEL	509	5	1	5	1
Apache	CAMEL	8702	53	3	29	4
Apache	CAMEL	8707	143	17	67	17
Apache	CAMEL	8708	44	3	31	1
Apache	CAMEL	517	22	1	17	0
Apache	CAMEL	518	34	3	23	1
Apache	CAMEL	519	7	0	7	0
Apache	CAMEL	520	20	0	16	1
Apache	CAMEL	8713	43	0	24	1
Apache	CAMEL	522	116	3	58	4
Apache	CAMEL	8715	59	2	35	3
Apache	CAMEL	524	138	6	88	11
Apache	CAMEL	8718	18	1	15	0
Apache	CAMEL	528	58	1	42	3
Apache	CAMEL	534	21	3	15	2
Apache	CAMEL	536	127	6	62	11
Apache	CAMEL	537	552	11	60	3
Apache	CAMEL	8737	174	11	70	20
Apache	CAMEL	547	91	3	48	11
Apache	CAMEL	548	25	1	20	2
Apache	CAMEL	549	23	1	17	1
Apache	CAMEL	550	296	19	90	37
Apache	CAMEL	551	18	1	12	1
Apache	CAMEL	8745	210	2	33	8
Apache	CAMEL	8746	127	3	56	19
Apache	CAMEL	8747	23	0	20	1
Apache	CAMEL	8748	234	21	63	48
Apache	CAMEL	558	43	0	28	3
Apache	CAMEL	561	47	1	30	0
Apache	CAMEL	562	212	2	70	36
Apache	CAMEL	8756	524	29	138	63
Apache	CAMEL	566	33	4	26	3
Apache	CAMEL	567	49	1	19	3
Apache	CAMEL	8765	131	3	48	28
Apache	CAMEL	574	26	3	20	0
Apache	CAMEL	8768	83	4	43	6
Apache	CAMEL	577	47	3	34	6
Apache	CAMEL	581	32	1	16	8
Apache	CAMEL	8774	43	2	29	4
Apache	CAMEL	583	461	13	108	74
Apache	CAMEL	584	128	3	33	19
Apache	CAMEL	587	18	1	14	2
Apache	CAMEL	8780	56	1	35	7
Apache	CAMEL	8782	51	3	39	2
Apache	CAMEL	8783	120	3	72	7
Apache	CAMEL	593	13	0	10	0
Apache	CAMEL	8786	28	2	22	4
Apache	CAMEL	597	42	2	25	7
Apache	CAMEL	8798	133	5	71	22
Apache	CAMEL	612	52	5	31	1
Apache	CAMEL	618	124	12	82	10
Apache	CAMEL	8295	49	3	29	10
Apache	CAMEL	620	232	7	52	41
Apache	CAMEL	8816	26	0	21	1
Apache	CAMEL	629	42	2	33	6
Apache	CAMEL	631	163	1	30	7
Apache	CAMEL	634	126	2	72	2
Apache	CAMEL	636	186	1	73	25
Apache	CAMEL	8829	692	12	88	61
Apache	CAMEL	642	46	4	31	3
Apache	CAMEL	8841	394	21	104	61
Apache	CAMEL	651	57	5	42	5
Apache	CAMEL	653	122	9	70	16
Apache	CAMEL	655	35	2	23	2
Apache	CAMEL	657	42	1	32	4
Apache	CAMEL	664	17	1	11	0
Apache	CAMEL	667	52	1	41	1
Apache	CAMEL	8864	86	9	45	10
Apache	CAMEL	675	89	2	47	19
Apache	CAMEL	677	19	0	15	0
Apache	CAMEL	8871	76	3	35	15
Apache	CAMEL	685	37	1	30	3
Apache	CAMEL	686	25	1	21	2
Apache	CAMEL	688	5	1	5	1
Apache	CAMEL	9672	45	5	39	7
Apache	CAMEL	691	20	1	12	2
Apache	CAMEL	8885	28	4	22	9
Apache	CAMEL	694	122	9	42	19
Apache	CAMEL	695	27	0	17	1
Apache	CAMEL	696	67	3	45	9
Apache	CAMEL	697	24	1	16	0
Apache	CAMEL	10116	142	5	44	24
Apache	CAMEL	701	27	0	20	2
Apache	CAMEL	702	1152	38	163	73
Apache	CAMEL	8898	80	11	44	16
Apache	CAMEL	707	19	1	14	0
Apache	CAMEL	8900	62	3	39	1
Apache	CAMEL	8901	20	3	15	3
Apache	CAMEL	710	52	3	38	3
Apache	CAMEL	712	142	14	81	7
Apache	CAMEL	713	122	9	70	14
Apache	CAMEL	715	106	5	46	21
Apache	CAMEL	8909	100	3	31	0
Apache	CAMEL	718	26	1	19	1
Apache	CAMEL	8914	154	8	78	28
Apache	CAMEL	8916	32	0	21	2
Apache	CAMEL	727	33	1	28	3
Apache	CAMEL	8923	70	2	43	4
Apache	CAMEL	8927	20	1	16	2
Apache	CAMEL	737	26	1	13	4
Apache	CAMEL	738	35	2	27	2
Apache	CAMEL	8315	32	1	21	9
Apache	CAMEL	8933	714	50	153	17
Apache	CAMEL	747	46	3	31	3
Apache	CAMEL	8945	15	0	12	1
Apache	CAMEL	755	36	0	29	3
Apache	CAMEL	756	43	2	30	6
Apache	CAMEL	8949	1365	26	83	43
Apache	CAMEL	8950	32	4	21	5
Apache	CAMEL	8951	18	1	16	5
Apache	CAMEL	8954	119	13	60	17
Apache	CAMEL	763	50	2	37	6
Apache	CAMEL	765	21	0	17	2
Apache	CAMEL	8963	89	4	46	0
Apache	CAMEL	8964	22	0	17	2
Apache	CAMEL	773	9	0	8	1
Apache	CAMEL	774	661	11	148	77
Apache	CAMEL	777	24	1	12	0
Apache	CAMEL	782	64	3	49	6
Apache	CAMEL	8978	138	6	58	9
Apache	CAMEL	1497	42	3	29	2
Apache	CAMEL	792	96	3	47	6
Apache	CAMEL	793	24	0	17	1
Apache	CAMEL	794	52	5	34	8
Apache	CAMEL	795	131	3	63	8
Apache	CAMEL	803	64	5	44	8
Apache	CAMEL	806	43	1	29	0
Apache	CAMEL	807	85	2	60	6
Apache	CAMEL	811	18	0	13	0
Apache	CAMEL	818	37	0	25	2
Apache	CAMEL	9012	43	2	30	0
Apache	CAMEL	9013	50	2	37	4
Apache	CAMEL	826	8	0	7	0
Apache	CAMEL	9019	9	1	7	1
Apache	CAMEL	834	146	6	64	9
Apache	CAMEL	9027	35	2	29	6
Apache	CAMEL	9029	32	2	25	2
Apache	CAMEL	9032	21	1	16	1
Apache	CAMEL	842	19	2	19	3
Apache	CAMEL	9035	139	8	68	8
Apache	CAMEL	9037	21	3	18	4
Apache	CAMEL	9040	1580	33	222	135
Apache	CAMEL	849	37	1	22	0
Apache	CAMEL	851	31	0	23	0
Apache	CAMEL	9048	157	2	66	6
Apache	CAMEL	857	34	3	28	1
Apache	CAMEL	858	28	1	15	2
Apache	CAMEL	860	64	3	31	6
Apache	CAMEL	9059	26	0	18	0
Apache	CAMEL	871	35	1	21	2
Apache	CAMEL	873	44	4	28	3
Apache	CAMEL	879	15	0	13	0
Apache	CAMEL	880	211	9	79	23
Apache	CAMEL	881	29	0	21	0
Apache	CAMEL	882	14	1	8	1
Apache	CAMEL	885	13	0	11	1
Apache	CAMEL	886	46	0	25	1
Apache	CAMEL	890	570	25	172	87
Apache	CAMEL	894	33	0	23	0
Apache	CAMEL	9087	226	11	69	19
Apache	CAMEL	9089	44	3	35	2
Apache	CAMEL	9092	23	0	16	2
Apache	CAMEL	901	64	2	40	2
Apache	CAMEL	902	24	0	18	1
Apache	CAMEL	906	37	0	27	3
Apache	CAMEL	9099	340	7	59	41
Apache	CAMEL	9101	61	2	37	10
Apache	CAMEL	912	46	2	33	3
Apache	CAMEL	914	63	2	37	1
Apache	CAMEL	9108	57	0	36	5
Apache	CAMEL	919	138	8	52	19
Apache	CAMEL	920	45	3	24	3
Apache	CAMEL	921	1072	16	115	93
Apache	CAMEL	922	104	5	64	1
Apache	CAMEL	8346	81	3	50	1
Apache	CAMEL	927	284	3	75	34
Apache	CAMEL	9124	17	3	14	4
Apache	CAMEL	934	17	1	13	2
Apache	CAMEL	939	4	0	4	0
Apache	CAMEL	942	386	11	96	62
Apache	CAMEL	9139	36	0	23	2
Apache	CAMEL	9140	31	2	24	2
Apache	CAMEL	9142	48	0	27	4
Apache	CAMEL	9143	791	41	240	99
Apache	CAMEL	9144	428	4	113	68
Apache	CAMEL	9150	27	3	24	4
Apache	CAMEL	9151	83	3	34	13
Apache	CAMEL	161	13	0	11	1
Apache	CAMEL	9161	42	0	29	0
Apache	CAMEL	970	6	1	5	2
Apache	CAMEL	9164	686	25	131	111
Apache	CAMEL	973	300	8	84	43
Apache	CAMEL	974	131	0	54	11
Apache	CAMEL	2893	14	2	14	3
Apache	CAMEL	9171	54	2	33	1
Apache	CAMEL	980	40	2	35	6
Apache	CAMEL	983	21	1	18	5
Apache	CAMEL	9177	137	10	61	10
Apache	CAMEL	8358	53	2	29	1
Apache	CAMEL	9191	444	6	99	52
Apache	CAMEL	1001	23	3	18	4
Apache	CAMEL	1003	22	2	21	2
Apache	CAMEL	9199	24	0	15	1
Apache	CAMEL	9200	62	3	39	5
Apache	CAMEL	9202	222	11	143	2
Apache	CAMEL	9205	119	3	63	7
Apache	CAMEL	9208	53	1	27	4
Apache	CAMEL	1021	15	2	12	0
Apache	CAMEL	1023	9	2	9	0
Apache	CAMEL	1027	35	4	26	6
Apache	CAMEL	9220	81	6	42	9
Apache	CAMEL	9223	318	2	83	43
Apache	CAMEL	1034	90	5	60	4
Apache	CAMEL	9227	92	5	38	14
Apache	CAMEL	1037	43	1	30	2
Apache	CAMEL	9230	70	5	49	9
Apache	CAMEL	9233	30	2	25	2
Apache	CAMEL	9238	330	8	82	54
Apache	CAMEL	9243	189	18	104	35
Apache	CAMEL	9245	51	3	31	1
Apache	CAMEL	9246	481	26	130	12
Apache	CAMEL	9247	28	0	19	1
Apache	CAMEL	9248	89	27	74	17
Apache	CAMEL	1057	72	0	36	3
Apache	CAMEL	1062	25	1	20	2
Apache	CAMEL	9255	18	1	10	1
Apache	CAMEL	9257	65	5	41	12
Apache	CAMEL	9259	64	3	38	13
Apache	CAMEL	1070	26	1	20	4
Apache	CAMEL	1074	20	2	13	2
Apache	CAMEL	9269	31	2	19	1
Apache	CAMEL	9270	52	3	35	4
Apache	CAMEL	1080	90	0	32	10
Apache	CAMEL	9277	105	5	70	7
Apache	CAMEL	1088	27	1	17	0
Apache	CAMEL	9281	227	6	106	15
Apache	CAMEL	1090	31	6	27	4
Apache	CAMEL	1091	23	4	21	2
Apache	CAMEL	1093	45	3	32	6
Apache	CAMEL	1095	41	1	26	3
Apache	CAMEL	9290	16	0	12	1
Apache	CAMEL	9294	76	5	50	10
Apache	CAMEL	1103	56	8	38	13
Apache	CAMEL	1107	29	1	15	3
Apache	CAMEL	1108	103	2	40	20
Apache	CAMEL	1111	128	7	86	7
Apache	CAMEL	1118	20	3	19	0
Apache	CAMEL	9311	68	4	36	0
Apache	CAMEL	9313	128	6	81	12
Apache	CAMEL	1122	28	0	21	2
Apache	CAMEL	9316	56	7	43	5
Apache	CAMEL	1125	44	6	24	7
Apache	CAMEL	9318	440	5	96	68
Apache	CAMEL	9319	67	2	44	8
Apache	CAMEL	9321	162	1	51	26
Apache	CAMEL	1131	23	2	15	6
Apache	CAMEL	1135	198	2	45	11
Apache	CAMEL	9331	28	1	16	2
Apache	CAMEL	1140	20	1	19	3
Apache	CAMEL	1144	93	3	51	21
Apache	CAMEL	1145	24	2	22	4
Apache	CAMEL	9340	82	6	48	10
Apache	CAMEL	1150	39	5	32	6
Apache	CAMEL	9366	48	3	39	5
Apache	CAMEL	9375	27	3	22	2
Apache	CAMEL	9377	10	1	10	0
Apache	CAMEL	1187	22	0	16	0
Apache	CAMEL	1188	231	11	62	26
Apache	CAMEL	9381	22	0	14	0
Apache	CAMEL	1190	39	3	23	4
Apache	CAMEL	1193	44	3	35	5
Apache	CAMEL	9386	21	1	15	1
Apache	CAMEL	1196	19	1	14	3
Apache	CAMEL	1199	10	0	8	0
Apache	CAMEL	1205	92	6	40	5
Apache	CAMEL	1207	102	9	34	25
Apache	CAMEL	9405	68	2	42	1
Apache	CAMEL	9406	35	1	21	6
Apache	CAMEL	1216	20	1	19	3
Apache	CAMEL	1217	45	0	21	1
Apache	CAMEL	8395	23	2	16	1
Apache	CAMEL	1221	74	1	51	3
Apache	CAMEL	9417	51	7	32	6
Apache	CAMEL	9424	510	9	112	68
Apache	CAMEL	9426	66	5	45	7
Apache	CAMEL	9431	97	3	60	11
Apache	CAMEL	9432	73	6	46	7
Apache	CAMEL	1247	18	1	13	2
Apache	CAMEL	1249	194	3	72	10
Apache	CAMEL	9442	96	1	45	4
Apache	CAMEL	9444	116	2	42	8
Apache	CAMEL	1261	131	6	56	14
Apache	CAMEL	1263	227	5	73	32
Apache	CAMEL	1265	3	0	3	0
Apache	CAMEL	1270	22	1	15	2
Apache	CAMEL	1271	137	12	81	18
Apache	CAMEL	1274	15	0	12	2
Apache	CAMEL	9468	21	1	15	1
Apache	CAMEL	1278	39	1	28	3
Apache	CAMEL	1283	38	1	24	0
Apache	CAMEL	9480	19	1	15	5
Apache	CAMEL	9483	441	9	154	17
Apache	CAMEL	1292	20	1	16	1
Apache	CAMEL	1296	28	1	25	2
Apache	CAMEL	9491	31	2	25	1
Apache	CAMEL	1301	71	2	49	8
Apache	CAMEL	9503	6	0	6	1
Apache	CAMEL	9505	100	9	55	20
Apache	CAMEL	9506	54	3	39	2
Apache	CAMEL	9509	2270	95	287	121
Apache	CAMEL	1585	40	4	21	5
Apache	CAMEL	1321	19	1	14	2
Apache	CAMEL	1325	75	2	36	8
Apache	CAMEL	1330	24	1	15	1
Apache	CAMEL	1332	26	2	20	2
Apache	CAMEL	9526	248	11	69	35
Apache	CAMEL	9527	219	18	107	32
Apache	CAMEL	9532	50	4	30	5
Apache	CAMEL	9543	34	3	23	3
Apache	CAMEL	1352	38	2	26	6
Apache	CAMEL	1356	38	2	25	3
Apache	CAMEL	9553	193	15	65	28
Apache	CAMEL	9557	114	14	69	16
Apache	CAMEL	9558	145	9	92	23
Apache	CAMEL	9560	108	3	55	19
Apache	CAMEL	9566	50	1	21	0
Apache	CAMEL	9569	21	2	18	3
Apache	CAMEL	1379	46	0	29	0
Apache	CAMEL	9576	46	1	30	3
Apache	CAMEL	9582	20	1	17	2
Apache	CAMEL	8424	181	16	96	31
Apache	CAMEL	1401	71	1	53	6
Apache	CAMEL	1406	19	3	17	3
Apache	CAMEL	9599	18	0	11	0
Apache	CAMEL	1408	21	1	16	3
Apache	CAMEL	1411	20	2	17	3
Apache	CAMEL	1412	16	3	15	3
Apache	CAMEL	1414	64	1	49	10
Apache	CAMEL	9607	41	3	33	2
Apache	CAMEL	1416	27	1	26	3
Apache	CAMEL	1417	44	3	32	7
Apache	CAMEL	9611	89	2	41	10
Apache	CAMEL	1421	29	3	25	3
Apache	CAMEL	1426	25	2	24	6
Apache	CAMEL	1428	49	2	38	10
Apache	CAMEL	9631	28	1	19	3
Apache	CAMEL	1441	273	5	78	40
Apache	CAMEL	1442	20	0	18	1
Apache	CAMEL	1443	75	5	39	13
Apache	CAMEL	1444	36	1	26	2
Apache	CAMEL	9640	17	0	11	0
Apache	CAMEL	9641	19	1	17	2
Apache	CAMEL	1454	22	2	19	2
Apache	CAMEL	1461	146	4	79	11
Apache	CAMEL	1462	24	1	20	2
Apache	CAMEL	1463	36	2	32	6
Apache	CAMEL	9656	165	10	72	18
Apache	CAMEL	9658	43	1	26	2
Apache	CAMEL	9660	75	2	48	5
Apache	CAMEL	9664	75	0	45	6
Apache	CAMEL	9665	42	3	25	9
Apache	CAMEL	1474	93	5	55	3
Apache	CAMEL	1475	31	1	22	3
Apache	CAMEL	1477	97	1	49	10
Apache	CAMEL	9670	27	0	19	0
Apache	CAMEL	1480	40	4	33	7
Apache	CAMEL	9673	26	1	20	2
Apache	CAMEL	9680	908	20	189	144
Apache	CAMEL	1492	16	1	16	1
Apache	CAMEL	9686	18	0	12	1
Apache	CAMEL	9687	20	1	16	2
Apache	CAMEL	1496	45	0	29	2
Apache	CAMEL	9689	176	2	48	12
Apache	CAMEL	1498	29	0	25	3
Apache	CAMEL	1615	10	0	7	1
Apache	CAMEL	1504	49	3	30	3
Apache	CAMEL	1505	118	8	53	14
Apache	CAMEL	1506	26	0	19	0
Apache	CAMEL	9700	17	1	16	2
Apache	CAMEL	1509	102	1	44	18
Apache	CAMEL	1510	240	18	124	33
Apache	CAMEL	1511	13	0	9	3
Apache	CAMEL	1513	138	6	64	16
Apache	CAMEL	1516	69	5	46	8
Apache	CAMEL	9710	655	23	136	109
Apache	CAMEL	1519	28	1	21	0
Apache	CAMEL	9713	87	1	39	4
Apache	CAMEL	9714	5	1	5	0
Apache	CAMEL	1524	95	2	45	6
Apache	CAMEL	1525	31	1	23	4
Apache	CAMEL	1535	27	1	20	2
Apache	CAMEL	9730	763	6	90	68
Apache	CAMEL	9732	20	3	17	4
Apache	CAMEL	1544	30	2	20	2
Apache	CAMEL	9738	99	7	55	9
Apache	CAMEL	1547	28	1	11	5
Apache	CAMEL	1548	6	0	6	1
Apache	CAMEL	1565	174	11	81	23
Apache	CAMEL	1566	24	2	18	3
Apache	CAMEL	8453	41	5	27	5
Apache	CAMEL	1568	59	4	41	5
Apache	CAMEL	9768	202	9	108	27
Apache	CAMEL	9774	69	6	50	7
Apache	CAMEL	1583	72	1	44	2
Apache	CAMEL	9777	17	0	14	0
Apache	CAMEL	1586	35	1	23	2
Apache	CAMEL	9779	21	1	15	3
Apache	CAMEL	1590	20	1	16	4
Apache	CAMEL	9784	58	2	42	4
Apache	CAMEL	9793	55	4	40	6
Apache	CAMEL	1604	26	3	22	4
Apache	CAMEL	1609	37	3	32	7
Apache	CAMEL	9805	97	4	45	13
Apache	CAMEL	1614	18	2	14	4
Apache	CAMEL	9807	164	8	99	3
Apache	CAMEL	1618	18	1	16	2
Apache	CAMEL	9812	423	32	132	25
Apache	CAMEL	1621	12	1	10	1
Apache	CAMEL	1622	30	0	23	3
Apache	CAMEL	1624	106	4	58	20
Apache	CAMEL	9820	95	8	67	10
Apache	CAMEL	1630	397	9	125	67
Apache	CAMEL	1632	28	2	22	3
Apache	CAMEL	1633	127	8	77	4
Apache	CAMEL	9828	115	7	73	13
Apache	CAMEL	1641	26	1	21	2
Apache	CAMEL	1642	18	1	16	4
Apache	CAMEL	1645	158	4	48	6
Apache	CAMEL	1646	11	0	7	2
Apache	CAMEL	9841	65	0	36	2
Apache	CAMEL	1650	81	4	61	5
Apache	CAMEL	1651	14	1	10	3
Apache	CAMEL	1652	96	2	65	4
Apache	CAMEL	9851	568	34	153	66
Apache	CAMEL	9854	38	0	26	0
Apache	CAMEL	1663	28	0	19	2
Apache	CAMEL	9862	50	5	28	10
Apache	CAMEL	1671	15	1	14	2
Apache	CAMEL	9866	462	18	127	67
Apache	CAMEL	1676	13	1	6	4
Apache	CAMEL	9872	90	7	67	7
Apache	CAMEL	9874	474	16	140	56
Apache	CAMEL	8785	129	4	47	23
Apache	CAMEL	1689	72	4	44	5
Apache	CAMEL	9887	58	5	40	8
Apache	CAMEL	1696	332	44	120	68
Apache	CAMEL	1697	39	1	24	1
Apache	CAMEL	9890	9	0	9	0
Apache	CAMEL	9896	63	4	41	6
Apache	CAMEL	9898	114	4	38	14
Apache	CAMEL	9903	41	1	29	3
Apache	CAMEL	9906	21	1	16	2
Apache	CAMEL	1716	56	3	38	3
Apache	CAMEL	9911	39	2	33	6
Apache	CAMEL	1724	13	0	11	0
Apache	CAMEL	9917	6	0	6	0
Apache	CAMEL	1727	24	1	16	2
Apache	CAMEL	9920	14	0	11	1
Apache	CAMEL	9921	85	3	51	7
Apache	CAMEL	9926	37	0	22	0
Apache	CAMEL	1735	7	0	7	0
Apache	CAMEL	1736	22	2	18	3
Apache	CAMEL	9929	28	0	26	4
Apache	CAMEL	1740	36	2	27	4
Apache	CAMEL	9933	27	0	19	0
Apache	CAMEL	1743	29	2	19	5
Apache	CAMEL	9941	21	2	17	2
Apache	CAMEL	1752	29	1	26	5
Apache	CAMEL	1753	10	0	8	0
Apache	CAMEL	1755	27	1	21	0
Apache	CAMEL	9950	10	0	10	3
Apache	CAMEL	1759	28	1	23	1
Apache	CAMEL	1760	91	4	59	17
Apache	CAMEL	9953	21	2	17	4
Apache	CAMEL	1771	65	2	44	5
Apache	CAMEL	1774	7	0	7	0
Apache	CAMEL	9968	121	6	55	13
Apache	CAMEL	1777	50	3	27	6
Apache	CAMEL	9970	53	3	35	5
Apache	CAMEL	1780	48	3	36	3
Apache	CAMEL	9973	186	18	52	36
Apache	CAMEL	1786	51	2	26	1
Apache	CAMEL	9981	87	9	53	13
Apache	CAMEL	9982	33	1	24	2
Apache	CAMEL	9984	238	18	91	36
Apache	CAMEL	9986	67	1	39	1
Apache	CAMEL	1795	21	2	18	3
Apache	CAMEL	1797	13	0	9	0
Apache	CAMEL	1803	28	1	24	2
Apache	CAMEL	1813	19	1	17	3
Apache	CAMEL	1814	399	8	86	33
Apache	CAMEL	1815	17	1	15	3
Apache	CAMEL	10009	84	8	48	10
Apache	CAMEL	10011	24	2	14	3
Apache	CAMEL	10012	44	1	24	2
Apache	CAMEL	10014	9	2	7	1
Apache	CAMEL	10015	10	0	8	2
Apache	CAMEL	1824	135	2	63	11
Apache	CAMEL	1825	133	6	64	11
Apache	CAMEL	1828	16	1	15	3
Apache	CAMEL	1670	50	4	39	6
Apache	CAMEL	10024	237	8	129	36
Apache	CAMEL	9863	59	9	43	12
Apache	CAMEL	1838	20	1	18	2
Apache	CAMEL	1839	469	18	115	73
Apache	CAMEL	10032	125	0	33	8
Apache	CAMEL	10034	680	34	134	72
Apache	CAMEL	1844	159	7	91	8
Apache	CAMEL	10038	49	3	39	4
Apache	CAMEL	10039	10	1	10	2
Apache	CAMEL	1848	29	3	24	4
Apache	CAMEL	1849	23	0	17	1
Apache	CAMEL	1851	93	6	50	10
Apache	CAMEL	1852	14	0	11	0
