Papaer Feature Name		NSrc	SrcNDistTk	SrcAvgNTk	SrcAvgDistTk			InvNSrc	AvgLOC	AvgCC		SrcNumCmt		SrcRatioCmt	SrcRatioDict	
Wildfly	WFMP	80.000000	1223	500.100000	137.937500	5.625000	137.937500	0.012500	138.500000	1.850000	7.625000	2.312500	4.687500	0.257259	0.623167	
Spring	AMQP	316.823529	4880	440.639481	105.164704	5.248752	105.164704	0.003297	149.579412	1.244706	9.362976	1.596779	5.751488	0.173502	0.574151	
Spring	ANDROID	180.500000	3017	568.918457	115.477132	8.322089	115.477132	0.005541	186.070000	1.285000	10.903202	4.928157	6.304684	0.443560	0.579331	
Spring	BATCH	1255.696970	10019	287.825292	83.997135	2.758151	83.997135	0.000850	103.462121	1.152424	6.340603	1.523459	4.482348	0.248823	0.709563	
Spring	BATCHADM	227.250000	2244	295.624274	87.161207	4.178848	87.161207	0.004429	95.020000	1.207500	5.539805	0.734176	3.975819	0.104810	0.776722	
Spring	DATACMNS	420.848485	4930	269.768080	86.724258	4.281565	86.724258	0.002690	107.560000	0.962424	6.320907	2.066519	2.379533	0.313984	0.352750	
Spring	DATAGRAPH	312.000000	6284	239.665853	77.339267	4.562300	77.339267	0.004906	75.574000	0.996000	6.064449	0.357180	3.244348	0.043530	0.487175	
Spring	DATAJPA	234.842105	3435	268.397489	89.144829	5.144683	89.144829	0.004759	101.606316	0.954737	5.511514	1.337216	2.378827	0.207277	0.393507	
Spring	DATAMONGO	454.925000	6785	355.498434	90.359836	6.260640	90.359836	0.002294	130.672250	1.023000	8.179704	1.634241	3.766396	0.175415	0.444808	
Spring	DATAREDIS	339.470588	5664	478.230499	101.434280	4.404532	101.434280	0.003097	189.631176	1.188235	17.348700	1.887770	11.472760	0.182855	0.624316	
Spring	DATAREST	298.142857	4024	267.138402	81.537444	3.877465	81.537444	0.003596	95.306071	1.046429	5.314420	1.323508	2.383034	0.193807	0.397875	
Spring	LDAP	510.400000	4657	358.515646	92.633845	4.498924	92.633845	0.001972	123.060000	1.162000	7.120414	1.687849	4.566391	0.223965	0.670461	
Spring	MOBILE	49.333333	1342	323.933483	78.098025	11.450863	78.098025	0.020880	92.116667	1.010000	7.270693	1.223931	4.193298	0.306869	0.594528	
Spring	ROO	788.133333	12481	406.566061	79.132355	3.726892	79.132355	0.001521	118.137333	1.516000	6.340816	1.515449	3.271870	0.208931	0.496829	
Spring	SEC	1074.674419	14575	300.020475	89.246317	4.374721	89.246317	0.000993	100.637674	1.248372	5.857461	1.045173	3.824982	0.222938	0.601552	
Spring	SECOAUTH	431.285714	4408	295.512244	85.521342	4.243010	85.521342	0.002329	95.035714	1.494286	5.877042	1.403117	3.671641	0.249171	0.622967	
Spring	SGF	344.947368	6128	337.280821	97.302119	5.051176	97.302119	0.004117	112.725263	1.201579	6.820449	0.832775	4.482190	0.106151	0.611941	
Spring	SHDP	700.500000	6086	305.984675	91.112632	3.433323	91.112632	0.003030	106.122000	1.203000	6.144470	1.800969	3.768814	0.256953	0.624188	
Spring	SHL	118.333333	2031	271.331182	91.205060	7.401561	91.205060	0.008851	98.746667	1.586667	4.989113	1.211140	3.254345	0.260262	0.612308	
Spring	SOCIAL	153.000000	2162	305.905034	88.921713	4.793245	88.921713	0.006778	86.940000	0.980000	6.364375	1.718586	3.908546	0.307695	0.530767	
Spring	SOCIALFB	188.000000	3299	350.135881	89.518886	6.319764	89.518886	0.005937	100.898000	1.012000	7.756420	1.706101	3.251685	0.129968	0.498243	
Spring	SOCIALLI	180.000000	1621	222.050000	84.105556	4.427778	84.105556	0.005556	70.550000	1.220000	4.616667	0.483333	2.072222	0.056790	0.492707	
Spring	SOCIALTW	106.600000	2259	414.694645	91.384071	8.507212	91.384071	0.009810	112.860000	1.062000	9.523974	2.445675	2.976637	0.146247	0.423781	
Spring	SPR	4570.333333	40547	455.327030	107.996866	3.316538	107.996866	0.000223	149.831667	1.160000	9.025285	2.942502	5.292817	0.368743	0.541505	
Spring	SWF	683.750000	7101	328.910341	89.909798	3.079809	89.909798	0.001492	108.340500	1.120500	8.293735	2.422916	5.419449	0.344586	0.674048	
Spring	SWS	802.680000	5968	323.170183	89.906912	2.310494	89.906912	0.001375	98.639600	1.157200	6.107492	1.734999	3.993868	0.264123	0.645829	
