Papaer Feature Name		NSrc	SrcNDistTk	SrcAvgNTk	SrcAvgDistTk			InvNSrc	AvgLOC	AvgCC		SrcNumCmt		SrcRatioCmt	SrcRatioDict	
Commons	LANG	235.125000	12433	1047.090142	169.106464	20.795868	169.106464	0.004380	434.875000	1.366250	20.532999	10.886296	12.740306	0.467047	0.608798	
Commons	MATH	1010.133333	32940	506.210448	141.372667	11.912846	141.372667	0.001517	222.560000	1.394000	10.382733	6.245723	6.487211	0.605612	0.631174	
Commons	WEAVER	112.000000	1502	232.517857	92.169643	6.258929	92.169643	0.008929	93.510000	1.180000	4.633929	1.687500	2.732143	0.372193	0.513876	
JBoss	ENTESB	99.333333	4917	380.069013	108.693007	11.345928	108.693007	0.030308	130.310000	1.413333	6.173913	3.191224	3.431044	0.193784	0.527175	
JBoss	JBMETA	818.000000	6904	270.638983	111.038122	3.097979	111.038122	0.001224	113.052000	3.026000	5.711733	1.889019	3.210082	0.259522	0.630586	
Wildfly	ELY	58.000000	1496	354.775800	109.258256	10.331527	109.258256	0.018576	141.586667	1.243333	11.070691	3.233488	4.427245	0.359289	0.645128	
Wildfly	SWARM	605.500000	7118	195.420566	84.998469	4.823948	84.998469	0.001723	73.321667	1.245000	4.356244	0.362995	2.938128	0.042298	0.684879	
Wildfly	WFARQ	126.000000	1840	216.674603	95.031746	6.333333	95.031746	0.007937	81.620000	1.370000	5.063492	0.436508	2.825397	0.097020	0.615146	
Wildfly	WFCORE	3356.312500	39449	480.679001	146.608559	5.120371	146.608559	0.000298	167.429375	1.467500	10.090197	1.679774	6.049548	0.152403	0.634005	
Wildfly	WFLY	7233.333333	88458	324.074529	123.480679	3.284371	123.480679	0.000151	115.037500	1.404167	6.092964	1.036480	3.764394	0.137241	0.645572	
Wildfly	WFMP	80.000000	1620	420.412500	142.787500	8.637500	142.787500	0.012500	138.500000	1.850000	7.625000	2.312500	4.687500	0.257259	0.623167	
Spring	AMQP	316.823529	7155	355.266463	112.159091	7.704218	112.159091	0.003297	149.579412	1.244706	9.362976	1.596779	5.751488	0.173502	0.574151	
Spring	ANDROID	180.500000	4020	471.802351	123.299650	12.075972	123.299650	0.005541	186.070000	1.285000	10.903202	4.928157	6.304684	0.443560	0.579331	
Spring	BATCH	1255.696970	14419	235.099925	87.375461	3.896759	87.375461	0.000850	103.462121	1.152424	6.340603	1.523459	4.482348	0.248823	0.709563	
Spring	BATCHADM	227.250000	3057	238.034190	89.317236	6.030167	89.317236	0.004429	95.020000	1.207500	5.539805	0.734176	3.975819	0.104810	0.776722	
Spring	DATACMNS	420.848485	6829	230.966641	88.960754	6.120105	88.960754	0.002690	107.560000	0.962424	6.320907	2.066519	2.379533	0.313984	0.352750	
Spring	DATAGRAPH	312.000000	8787	203.661242	79.030366	6.133333	79.030366	0.004906	75.574000	0.996000	6.064449	0.357180	3.244348	0.043530	0.487175	
Spring	DATAJPA	234.842105	4410	231.047656	90.745166	6.818955	90.745166	0.004759	101.606316	0.954737	5.511514	1.337216	2.378827	0.207277	0.393507	
Spring	DATAMONGO	454.925000	9011	295.064355	93.537999	8.418804	93.537999	0.002294	130.672250	1.023000	8.179704	1.634241	3.766396	0.175415	0.444808	
Spring	DATAREDIS	339.470588	7700	401.094386	109.562234	6.206243	109.562234	0.003097	189.631176	1.188235	17.348700	1.887770	11.472760	0.182855	0.624316	
Spring	DATAREST	298.142857	5789	224.124336	83.979651	5.625808	83.979651	0.003596	95.306071	1.046429	5.314420	1.323508	2.383034	0.193807	0.397875	
Spring	LDAP	510.400000	6102	295.269902	95.364790	5.849199	95.364790	0.001972	123.060000	1.162000	7.120414	1.687849	4.566391	0.223965	0.670461	
Spring	MOBILE	49.333333	1490	258.392223	78.522506	12.313828	78.522506	0.020880	92.116667	1.010000	7.270693	1.223931	4.193298	0.306869	0.594528	
Spring	ROO	788.133333	19024	312.405900	85.718241	6.105117	85.718241	0.001521	118.137333	1.516000	6.340816	1.515449	3.271870	0.208931	0.496829	
Spring	SEC	1074.674419	19144	242.490029	91.718950	5.610327	91.718950	0.000993	100.637674	1.248372	5.857461	1.045173	3.824982	0.222938	0.601552	
Spring	SECOAUTH	431.285714	5737	233.965973	87.589946	5.394329	87.589946	0.002329	95.035714	1.494286	5.877042	1.403117	3.671641	0.249171	0.622967	
Spring	SGF	344.947368	8828	273.154112	100.851550	7.706187	100.851550	0.004117	112.725263	1.201579	6.820449	0.832775	4.482190	0.106151	0.611941	
Spring	SHDP	700.500000	9288	256.129318	95.868656	5.548530	95.868656	0.003030	106.122000	1.203000	6.144470	1.800969	3.768814	0.256953	0.624188	
Spring	SHL	118.333333	2582	233.995786	94.373605	9.712037	94.373605	0.008851	98.746667	1.586667	4.989113	1.211140	3.254345	0.260262	0.612308	
Spring	SOCIAL	153.000000	2870	242.414042	91.736945	6.340651	91.736945	0.006778	86.940000	0.980000	6.364375	1.718586	3.908546	0.307695	0.530767	
Spring	SOCIALFB	188.000000	4181	290.923109	92.504769	7.762881	92.504769	0.005937	100.898000	1.012000	7.756420	1.706101	3.251685	0.129968	0.498243	
Spring	SOCIALLI	180.000000	2007	181.238889	83.411111	5.261111	83.411111	0.005556	70.550000	1.220000	4.616667	0.483333	2.072222	0.056790	0.492707	
Spring	SOCIALTW	106.600000	2752	341.643485	93.749735	9.890859	93.749735	0.009810	112.860000	1.062000	9.523974	2.445675	2.976637	0.146247	0.423781	
Spring	SPR	4570.333333	61826	367.714019	114.086479	4.992390	114.086479	0.000223	149.831667	1.160000	9.025285	2.942502	5.292817	0.368743	0.541505	
Spring	SWF	683.750000	10527	268.049036	95.827403	4.650874	95.827403	0.001492	108.340500	1.120500	8.293735	2.422916	5.419449	0.344586	0.674048	
Spring	SWS	802.680000	9328	257.705329	95.350437	3.777314	95.350437	0.001375	98.639600	1.157200	6.107492	1.734999	3.993868	0.264123	0.645829	
