Key	Group	Project	BugID	Talks	Enums	Code	Stack	CountSummaryHints	CountDescHints	CountRemainHints	Grade	Sentences	Words	Syllables	ASW	ALS
jbmeta338	JBoss	JBMETA	338	0	0	0	0	0	0	0	4.450000	1	6	9	1.500000	6.000000
jbmeta348	JBoss	JBMETA	348	0	0	0	0	2	0	0	9.360000	2	15	28	1.870000	7.500000
jbmeta351	JBoss	JBMETA	351	0	0	0	0	0	0	0	20.850000	1	7	20	2.860000	7.000000
jbmeta354	JBoss	JBMETA	354	0	0	0	0	0	0	0	6.620000	1	4	7	1.750000	4.000000
jbmeta355	JBoss	JBMETA	355	0	0	0	0	0	1	1	13.340000	2	16	35	2.190000	8.000000
jbmeta228	JBoss	JBMETA	228	0	0	0	0	0	1	1	14.110000	2	53	87	1.640000	26.500000
jbmeta364	JBoss	JBMETA	364	0	0	0	0	1	11	11	27.430000	8	86	283	3.290000	10.750000
jbmeta371	JBoss	JBMETA	371	0	0	0	0	2	2	2	14.160000	5	92	176	1.910000	18.400000
jbmeta377	JBoss	JBMETA	377	0	0	0	0	2	3	3	11.590000	4	51	96	1.880000	12.750000
jbmeta379	JBoss	JBMETA	379	0	0	0	1	2	27	25	28.620000	14	129	444	3.440000	9.210000
camel8193	Apache	CAMEL	8193	0	0	0	1	1	60	59	36.920000	40	232	988	4.260000	5.800000
camel8194	Apache	CAMEL	8194	0	0	0	1	1	19	13	25.750000	7	147	413	2.810000	21.000000
camel1366	Apache	CAMEL	1366	0	0	0	0	2	12	12	13.910000	16	180	383	2.130000	11.250000
camel8200	Apache	CAMEL	8200	0	1	0	0	1	26	26	11.580000	31	327	639	1.950000	10.550000
camel8201	Apache	CAMEL	8201	0	0	0	0	1	5	5	6.740000	9	53	90	1.700000	5.890000
camel8213	Apache	CAMEL	8213	0	0	0	0	2	6	6	16.260000	10	67	166	2.480000	6.700000
camel8214	Apache	CAMEL	8214	0	0	0	0	0	1	1	7.370000	3	19	33	1.740000	6.330000
camel8217	Apache	CAMEL	8217	0	0	0	0	1	1	1	11.660000	3	31	61	1.970000	10.330000
camel8218	Apache	CAMEL	8218	0	0	0	0	1	0	0	6.830000	4	37	59	1.590000	9.250000
camel8222	Apache	CAMEL	8222	0	0	0	0	1	5	5	18.620000	13	57	157	2.750000	4.380000
camel8226	Apache	CAMEL	8226	0	0	0	0	1	2	2	17.680000	2	28	66	2.360000	14.000000
camel8231	Apache	CAMEL	8231	0	0	0	0	1	2	2	10.540000	4	82	126	1.540000	20.500000
camel8233	Apache	CAMEL	8233	0	0	0	0	1	1	1	12.830000	2	43	73	1.700000	21.500000
camel8236	Apache	CAMEL	8236	0	0	0	0	1	7	7	14.610000	3	75	130	1.730000	25.000000
camel8241	Apache	CAMEL	8241	0	0	0	0	0	2	2	12.400000	6	116	201	1.730000	19.330000
camel8253	Apache	CAMEL	8253	0	0	0	1	1	98	97	60.480000	72	296	1868	6.310000	4.110000
camel72	Apache	CAMEL	72	0	0	0	0	1	1	1	7.320000	5	45	74	1.640000	9.000000
camel8268	Apache	CAMEL	8268	0	0	0	0	0	1	1	5.810000	4	51	71	1.390000	12.750000
camel8270	Apache	CAMEL	8270	0	0	0	1	1	80	68	45.770000	45	272	1360	5.000000	6.040000
camel8272	Apache	CAMEL	8272	0	0	0	0	0	7	7	8.690000	4	54	87	1.610000	13.500000
camel81	Apache	CAMEL	81	0	0	0	0	1	0	0	7.190000	2	20	32	1.600000	10.000000
camel85	Apache	CAMEL	85	0	0	0	0	0	0	0	9.900000	2	26	45	1.730000	13.000000
camel8289	Apache	CAMEL	8289	0	0	0	0	0	0	0	8.440000	2	40	55	1.380000	20.000000
camel103	Apache	CAMEL	103	0	0	0	1	2	17	17	66.320000	24	30	207	6.900000	1.250000
camel105	Apache	CAMEL	105	0	0	0	0	1	3	3	11.670000	4	34	69	2.030000	8.500000
camel8302	Apache	CAMEL	8302	0	0	0	0	0	1	1	9.010000	4	57	92	1.610000	14.250000
camel112	Apache	CAMEL	112	0	0	0	0	2	4	4	5.240000	2	10	16	1.600000	5.000000
camel1384	Apache	CAMEL	1384	0	0	0	0	2	8	8	8.460000	16	89	165	1.850000	5.560000
camel8313	Apache	CAMEL	8313	0	0	0	0	1	7	7	11.340000	28	169	352	2.080000	6.040000
camel122	Apache	CAMEL	122	0	0	0	0	0	0	0	12.270000	1	20	34	1.700000	20.000000
camel123	Apache	CAMEL	123	0	0	0	0	0	0	0	9.410000	3	36	62	1.720000	12.000000
camel8327	Apache	CAMEL	8327	0	0	0	0	2	15	15	20.600000	27	84	249	2.960000	3.110000
camel8329	Apache	CAMEL	8329	0	0	0	0	0	3	3	6.980000	3	13	23	1.770000	4.330000
camel140	Apache	CAMEL	140	0	0	0	0	1	2	2	12.590000	2	45	74	1.640000	22.500000
camel8336	Apache	CAMEL	8336	0	0	0	0	2	3	3	14.530000	3	44	91	2.070000	14.670000
camel8338	Apache	CAMEL	8338	0	0	0	0	1	7	7	15.430000	6	34	83	2.440000	5.670000
camel8339	Apache	CAMEL	8339	0	0	0	0	0	13	13	20.670000	13	61	178	2.920000	4.690000
camel8341	Apache	CAMEL	8341	0	0	0	1	0	54	48	29.180000	34	116	427	3.680000	3.410000
camel154	Apache	CAMEL	154	0	1	0	0	0	15	14	10.460000	17	168	316	1.880000	9.880000
camel158	Apache	CAMEL	158	0	0	0	0	0	0	0	7.770000	1	12	19	1.580000	12.000000
camel8352	Apache	CAMEL	8352	0	0	0	0	1	1	1	12.490000	4	75	132	1.760000	18.750000
camel8353	Apache	CAMEL	8353	0	0	0	0	1	3	3	9.080000	4	44	76	1.730000	11.000000
camel8355	Apache	CAMEL	8355	0	0	0	0	1	3	3	15.520000	2	33	69	2.090000	16.500000
camel8356	Apache	CAMEL	8356	0	0	0	0	1	4	4	14.410000	5	54	118	2.190000	10.800000
camel166	Apache	CAMEL	166	0	0	0	0	1	1	1	20.850000	4	28	80	2.860000	7.000000
camel8359	Apache	CAMEL	8359	0	0	0	0	1	3	3	16.280000	4	61	134	2.200000	15.250000
camel171	Apache	CAMEL	171	0	0	0	1	1	20	15	19.010000	17	63	177	2.810000	3.710000
camel173	Apache	CAMEL	173	0	0	0	1	0	75	47	29.570000	31	164	599	3.650000	5.290000
camel8369	Apache	CAMEL	8369	0	0	0	0	1	2	2	9.540000	5	60	104	1.730000	12.000000
camel189	Apache	CAMEL	189	0	0	0	0	2	4	4	7.230000	4	31	52	1.680000	7.750000
camel8382	Apache	CAMEL	8382	0	0	0	0	1	8	8	9.520000	13	101	189	1.870000	7.770000
camel191	Apache	CAMEL	191	0	0	0	0	0	3	3	6.730000	3	39	57	1.460000	13.000000
camel194	Apache	CAMEL	194	0	0	0	0	0	2	2	12.070000	3	42	79	1.880000	14.000000
camel197	Apache	CAMEL	197	0	1	0	0	0	1	1	12.430000	8	56	120	2.140000	7.000000
camel8393	Apache	CAMEL	8393	0	0	0	0	0	37	37	20.700000	59	228	672	2.950000	3.860000
camel203	Apache	CAMEL	203	0	0	0	0	1	4	4	12.640000	4	70	127	1.810000	17.500000
camel8401	Apache	CAMEL	8401	0	0	0	0	1	2	2	11.760000	4	59	108	1.830000	14.750000
camel210	Apache	CAMEL	210	0	0	0	0	0	0	0	10.030000	3	26	49	1.880000	8.670000
camel211	Apache	CAMEL	211	0	0	0	0	1	1	1	14.820000	2	16	37	2.310000	8.000000
camel9593	Apache	CAMEL	9593	0	0	0	0	0	2	2	18.420000	2	8	22	2.750000	4.000000
camel8409	Apache	CAMEL	8409	0	0	0	0	0	4	4	13.920000	7	189	304	1.610000	27.000000
camel8411	Apache	CAMEL	8411	0	0	0	0	0	3	3	5.560000	4	37	55	1.490000	9.250000
camel224	Apache	CAMEL	224	0	0	0	0	0	1	1	10.640000	3	24	47	1.960000	8.000000
camel8417	Apache	CAMEL	8417	0	0	0	0	0	6	6	17.060000	5	52	126	2.420000	10.400000
camel232	Apache	CAMEL	232	0	0	0	0	0	0	0	9.180000	1	3	6	2.000000	3.000000
camel8425	Apache	CAMEL	8425	0	0	0	0	1	2	2	13.870000	3	55	104	1.890000	18.330000
camel8426	Apache	CAMEL	8426	0	0	0	0	0	2	2	12.630000	3	54	97	1.800000	18.000000
camel8430	Apache	CAMEL	8430	0	0	0	0	1	2	2	11.320000	2	17	34	2.000000	8.500000
camel8431	Apache	CAMEL	8431	0	0	0	0	1	16	16	15.130000	12	104	241	2.320000	8.670000
camel8432	Apache	CAMEL	8432	0	0	0	0	0	1	1	8.960000	6	79	130	1.650000	13.170000
camel8434	Apache	CAMEL	8434	0	0	0	0	0	0	0	7.050000	2	21	33	1.570000	10.500000
camel8436	Apache	CAMEL	8436	0	0	0	0	2	2	2	10.980000	6	63	120	1.900000	10.500000
camel8437	Apache	CAMEL	8437	0	0	0	0	0	9	9	13.110000	29	83	194	2.340000	2.860000
camel247	Apache	CAMEL	247	0	1	0	0	0	8	3	6.730000	7	23	41	1.780000	3.290000
camel257	Apache	CAMEL	257	0	0	0	1	1	37	26	16.580000	84	341	884	2.590000	4.060000
camel261	Apache	CAMEL	261	0	1	0	0	0	9	5	5.850000	10	73	115	1.580000	7.300000
camel8455	Apache	CAMEL	8455	0	0	0	0	1	4	4	26.210000	2	46	128	2.780000	23.000000
camel8456	Apache	CAMEL	8456	0	0	0	0	1	3	3	15.700000	6	44	106	2.410000	7.330000
camel8457	Apache	CAMEL	8457	0	0	0	0	0	7	7	28.250000	6	24	86	3.580000	4.000000
camel8461	Apache	CAMEL	8461	0	0	0	0	0	5	5	10.180000	15	61	125	2.050000	4.070000
camel8462	Apache	CAMEL	8462	0	0	0	0	2	4	4	9.080000	3	40	66	1.650000	13.330000
camel271	Apache	CAMEL	271	0	0	0	0	2	10	10	10.850000	15	89	182	2.040000	5.930000
camel8464	Apache	CAMEL	8464	0	0	0	0	1	3	3	14.830000	6	47	109	2.320000	7.830000
camel8469	Apache	CAMEL	8469	0	0	0	0	0	12	12	12.580000	15	84	185	2.200000	5.600000
camel8476	Apache	CAMEL	8476	0	0	0	0	2	4	4	12.370000	8	176	289	1.640000	22.000000
camel8479	Apache	CAMEL	8479	0	0	0	0	1	0	0	14.680000	1	5	12	2.400000	5.000000
camel8484	Apache	CAMEL	8484	0	0	0	0	1	1	1	2.880000	3	15	21	1.400000	5.000000
camel9606	Apache	CAMEL	9606	0	1	0	0	0	28	27	12.720000	39	284	613	2.160000	7.280000
camel297	Apache	CAMEL	297	0	0	0	0	1	4	4	17.050000	9	27	72	2.670000	3.000000
camel8492	Apache	CAMEL	8492	0	0	0	1	1	7	5	13.970000	15	78	182	2.330000	5.200000
camel304	Apache	CAMEL	304	0	0	0	0	0	2	2	9.310000	3	10	20	2.000000	3.330000
camel9608	Apache	CAMEL	9608	0	0	0	1	0	69	65	62.210000	51	307	1963	6.390000	6.020000
camel8498	Apache	CAMEL	8498	0	0	0	0	2	4	4	15.890000	4	48	109	2.270000	12.000000
camel307	Apache	CAMEL	307	0	0	0	0	0	2	2	6.820000	2	31	43	1.390000	15.500000
camel8500	Apache	CAMEL	8500	0	0	0	1	2	28	17	18.170000	16	166	418	2.520000	10.380000
camel8505	Apache	CAMEL	8505	0	0	0	0	1	17	17	22.990000	20	83	260	3.130000	4.150000
camel8510	Apache	CAMEL	8510	0	0	0	1	2	10	7	37.970000	7	40	174	4.350000	5.710000
camel320	Apache	CAMEL	320	0	0	0	0	1	5	5	15.380000	3	47	99	2.110000	15.670000
camel8515	Apache	CAMEL	8515	0	0	0	1	1	8	4	19.650000	5	45	121	2.690000	9.000000
camel324	Apache	CAMEL	324	0	0	0	0	0	3	3	10.720000	5	71	125	1.760000	14.200000
camel8519	Apache	CAMEL	8519	0	0	0	0	0	1	1	12.190000	5	80	146	1.820000	16.000000
camel8520	Apache	CAMEL	8520	0	0	0	0	0	38	38	18.530000	38	214	579	2.710000	5.630000
camel329	Apache	CAMEL	329	0	0	0	0	1	2	2	8.180000	3	24	42	1.750000	8.000000
camel10104	Apache	CAMEL	10104	0	0	0	0	0	2	2	12.220000	5	51	103	2.020000	10.200000
camel340	Apache	CAMEL	340	0	0	0	0	1	8	8	7.960000	14	100	176	1.760000	7.140000
camel8539	Apache	CAMEL	8539	0	0	0	0	0	7	7	10.640000	8	115	201	1.750000	14.380000
camel8540	Apache	CAMEL	8540	0	0	0	0	1	5	5	15.640000	6	72	162	2.250000	12.000000
camel352	Apache	CAMEL	352	0	0	0	0	1	1	1	13.980000	4	65	128	1.970000	16.250000
camel8546	Apache	CAMEL	8546	0	0	0	1	1	26	23	11.630000	12	70	148	2.110000	5.830000
camel8547	Apache	CAMEL	8547	0	0	0	0	0	3	3	11.610000	3	17	36	2.120000	5.670000
camel363	Apache	CAMEL	363	0	0	0	1	1	77	77	15.450000	132	409	1034	2.530000	3.100000
camel8556	Apache	CAMEL	8556	0	0	0	1	1	7	4	10.110000	6	25	51	2.040000	4.170000
camel370	Apache	CAMEL	370	0	0	0	0	1	1	1	11.300000	4	60	107	1.780000	15.000000
camel373	Apache	CAMEL	373	0	0	0	1	0	7	5	19.570000	4	61	151	2.480000	15.250000
camel374	Apache	CAMEL	374	0	0	0	0	1	2	2	13.060000	3	70	116	1.660000	23.330000
camel380	Apache	CAMEL	380	0	0	0	0	0	15	15	15.080000	13	68	165	2.430000	5.230000
camel383	Apache	CAMEL	383	0	0	0	0	2	7	7	21.350000	10	90	255	2.830000	9.000000
camel384	Apache	CAMEL	384	0	0	0	0	0	0	0	5.360000	3	17	27	1.590000	5.670000
camel8578	Apache	CAMEL	8578	0	0	0	0	0	2	2	4.770000	3	14	22	1.570000	4.670000
camel388	Apache	CAMEL	388	0	0	0	0	1	4	4	28.720000	3	25	87	3.480000	8.330000
camel8584	Apache	CAMEL	8584	0	0	0	0	1	5	5	13.510000	4	42	89	2.120000	10.500000
camel8585	Apache	CAMEL	8585	0	0	0	1	0	55	55	27.580000	38	352	1180	3.350000	9.260000
camel8587	Apache	CAMEL	8587	0	0	0	0	0	0	0	15.790000	2	44	85	1.930000	22.000000
camel8592	Apache	CAMEL	8592	0	0	0	0	1	4	4	11.800000	3	9	20	2.220000	3.000000
camel404	Apache	CAMEL	404	0	0	0	0	0	0	0	12.320000	2	12	26	2.170000	6.000000
camel8597	Apache	CAMEL	8597	0	0	0	0	1	4	4	13.880000	2	32	63	1.970000	16.000000
camel410	Apache	CAMEL	410	0	0	0	0	1	3	3	11.680000	5	87	151	1.740000	17.400000
camel412	Apache	CAMEL	412	0	0	0	0	2	2	2	9.250000	4	48	82	1.710000	12.000000
camel8607	Apache	CAMEL	8607	0	0	0	0	0	7	7	18.590000	8	75	194	2.590000	9.380000
camel8609	Apache	CAMEL	8609	0	0	0	0	0	0	0	11.520000	2	34	59	1.740000	17.000000
camel420	Apache	CAMEL	420	0	0	0	0	0	4	4	6.280000	7	67	103	1.540000	9.570000
camel430	Apache	CAMEL	430	0	0	0	0	1	8	8	23.000000	6	79	224	2.840000	13.170000
camel8624	Apache	CAMEL	8624	0	0	0	0	1	2	2	6.560000	3	9	16	1.780000	3.000000
camel8626	Apache	CAMEL	8626	0	0	0	0	2	15	15	21.600000	16	66	199	3.020000	4.120000
camel8628	Apache	CAMEL	8628	0	0	0	0	0	4	4	14.400000	4	83	154	1.860000	20.750000
camel8636	Apache	CAMEL	8636	0	0	0	0	0	0	0	10.760000	2	37	60	1.620000	18.500000
camel8643	Apache	CAMEL	8643	0	0	0	0	0	2	2	11.520000	4	68	118	1.740000	17.000000
camel457	Apache	CAMEL	457	0	0	0	0	0	4	4	14.150000	6	115	217	1.890000	19.170000
camel461	Apache	CAMEL	461	0	0	0	0	0	4	4	6.090000	6	36	59	1.640000	6.000000
camel462	Apache	CAMEL	462	0	0	0	1	0	3	1	13.510000	8	62	137	2.210000	7.750000
camel8660	Apache	CAMEL	8660	0	0	0	0	0	2	2	4.800000	5	52	72	1.380000	10.400000
camel8665	Apache	CAMEL	8665	0	0	0	0	0	3	3	1.470000	4	26	32	1.230000	6.500000
camel476	Apache	CAMEL	476	0	0	0	0	1	0	0	4.960000	1	9	13	1.440000	9.000000
camel8672	Apache	CAMEL	8672	0	0	0	0	0	8	8	23.060000	8	53	162	3.060000	6.620000
camel8673	Apache	CAMEL	8673	0	0	0	0	1	6	6	14.870000	8	60	140	2.330000	7.500000
camel8674	Apache	CAMEL	8674	0	1	0	0	0	5	4	15.660000	5	66	146	2.210000	13.200000
camel8682	Apache	CAMEL	8682	0	0	0	0	1	2	2	7.170000	4	60	86	1.430000	15.000000
camel8683	Apache	CAMEL	8683	0	0	0	0	1	1	1	9.850000	3	47	77	1.640000	15.670000
camel8687	Apache	CAMEL	8687	0	0	0	0	1	2	2	10.750000	4	35	68	1.940000	8.750000
camel8688	Apache	CAMEL	8688	0	0	0	0	1	3	3	8.650000	10	107	182	1.700000	10.700000
camel8689	Apache	CAMEL	8689	0	0	0	0	0	2	2	14.160000	7	127	244	1.920000	18.140000
camel498	Apache	CAMEL	498	0	0	0	0	0	0	0	7.630000	1	13	20	1.540000	13.000000
camel499	Apache	CAMEL	499	0	0	0	0	0	3	3	68.030000	13	34	238	7.000000	2.620000
camel8694	Apache	CAMEL	8694	0	0	0	1	3	47	31	25.190000	23	93	309	3.320000	4.040000
camel504	Apache	CAMEL	504	0	0	0	0	1	1	1	6.940000	5	55	85	1.550000	11.000000
camel505	Apache	CAMEL	505	0	0	0	0	0	1	1	6.950000	6	57	91	1.600000	9.500000
camel509	Apache	CAMEL	509	0	0	0	0	1	0	0	19.170000	1	7	19	2.710000	7.000000
camel8702	Apache	CAMEL	8702	0	0	0	0	1	4	4	22.320000	2	59	132	2.240000	29.500000
camel8707	Apache	CAMEL	8707	0	0	0	1	0	17	17	6.480000	28	95	167	1.760000	3.390000
camel8708	Apache	CAMEL	8708	0	0	0	0	0	1	1	9.220000	4	57	93	1.630000	14.250000
camel517	Apache	CAMEL	517	0	0	0	0	0	0	0	8.430000	4	37	64	1.730000	9.250000
camel518	Apache	CAMEL	518	0	0	0	0	1	0	0	9.940000	5	55	99	1.800000	11.000000
camel519	Apache	CAMEL	519	0	0	0	0	0	0	0	11.130000	1	8	16	2.000000	8.000000
camel520	Apache	CAMEL	520	0	0	0	0	1	0	0	10.120000	2	35	56	1.600000	17.500000
camel8713	Apache	CAMEL	8713	0	0	0	0	1	0	0	10.450000	4	75	119	1.590000	18.750000
camel522	Apache	CAMEL	522	0	0	0	0	0	4	4	15.430000	6	179	294	1.640000	29.830000
camel8715	Apache	CAMEL	8715	0	0	0	0	1	3	3	6.510000	12	75	125	1.670000	6.250000
camel524	Apache	CAMEL	524	0	0	0	0	1	10	10	16.030000	13	214	457	2.140000	16.460000
camel8718	Apache	CAMEL	8718	0	0	0	0	0	0	0	9.340000	3	29	52	1.790000	9.670000
camel528	Apache	CAMEL	528	0	0	0	0	1	3	3	8.960000	6	97	150	1.550000	16.170000
camel534	Apache	CAMEL	534	0	0	0	0	0	2	2	9.770000	2	9	18	2.000000	4.500000
camel536	Apache	CAMEL	536	0	0	0	0	0	11	11	12.420000	14	150	303	2.020000	10.710000
camel537	Apache	CAMEL	537	0	0	0	0	0	3	3	17.440000	18	397	822	2.070000	22.060000
camel8737	Apache	CAMEL	8737	0	1	0	1	0	20	12	14.400000	13	88	204	2.320000	6.770000
camel547	Apache	CAMEL	547	0	0	0	0	0	11	11	12.220000	12	149	290	1.950000	12.420000
camel548	Apache	CAMEL	548	0	0	0	0	0	2	2	6.080000	3	29	44	1.520000	9.670000
camel549	Apache	CAMEL	549	0	0	0	0	1	1	1	21.030000	2	19	53	2.790000	9.500000
camel550	Apache	CAMEL	550	0	0	0	1	0	37	25	49.880000	32	90	491	5.460000	2.810000
camel551	Apache	CAMEL	551	0	0	0	0	0	1	1	6.820000	5	39	64	1.640000	7.800000
camel8745	Apache	CAMEL	8745	0	0	0	0	0	8	8	45.800000	30	46	237	5.150000	1.530000
camel8746	Apache	CAMEL	8746	0	0	0	1	1	19	17	27.340000	12	78	267	3.420000	6.500000
camel8747	Apache	CAMEL	8747	0	0	0	0	0	1	1	3.840000	4	25	36	1.440000	6.250000
camel8748	Apache	CAMEL	8748	0	0	0	1	2	46	45	52.680000	27	94	533	5.670000	3.480000
camel558	Apache	CAMEL	558	0	0	0	0	0	3	3	19.090000	3	44	108	2.450000	14.670000
camel561	Apache	CAMEL	561	0	0	0	0	0	0	0	9.760000	5	66	113	1.710000	13.200000
camel562	Apache	CAMEL	562	0	0	0	1	0	36	24	43.810000	15	72	351	4.880000	4.800000
camel8756	Apache	CAMEL	8756	0	0	0	1	1	62	62	23.620000	65	418	1300	3.110000	6.430000
camel566	Apache	CAMEL	566	0	0	0	0	2	2	2	14.520000	3	55	107	1.950000	18.330000
